Trial Number,Trial Phase,Time,Position X,Position Y,Position Z
1,1,23.40269,0.2873641,0.5490184,0.6121685
1,1,23.51292,0.2870731,0.5419154,0.6120889
1,1,23.77948,-0.05590418,-0.01756852,0.7222826
1,1,23.8827,-0.1922149,-0.1390689,0.7840441
1,1,23.99067,-0.5223811,-0.5535018,0.9370008
1,1,24.09071,-0.7971678,-0.7738683,0.9178115
1,1,24.19189,-0.8254066,-0.7600015,0.9344929
1,1,24.29294,-0.8378528,-0.7495639,0.9383636
1,1,24.39471,-0.8561674,-0.7303535,0.9695826
1,1,24.49547,-0.8372867,-0.7232912,0.9343697
1,1,24.5956,-0.7712399,-0.8399781,0.7126845
1,1,24.7069,-0.7182884,-0.848225,0.3411915
1,1,24.81787,-0.7317291,-0.8536549,-0.1057023
1,1,24.92485,-0.7594404,-0.7860622,-0.4386343
1,1,25.02486,-0.7220409,-0.7827858,-0.603318
1,1,25.12539,-0.6689435,-0.776701,-0.6623185
1,1,25.22581,-0.3749618,-0.7790801,-0.7111903
1,1,25.32747,0.0419763,-0.8313619,-0.7197451
1,1,25.42871,0.4805616,-0.848412,-0.6311073
1,1,25.52893,0.670727,-0.9656724,-0.5938271
1,1,25.63988,0.8531525,-0.858891,-0.5518603
1,1,25.75097,0.9294939,-0.8604169,-0.5212194
1,1,25.86215,0.9364052,-0.8517553,-0.5216913
1,1,25.97282,0.9938772,-0.8253767,-0.5139831
1,1,26.08398,1.208044,-0.8565934,-0.4871607
1,1,26.19484,1.509809,-0.8576816,-0.2510188
1,1,26.29522,1.447296,-0.8515027,-0.1155951
1,1,26.39532,1.31566,-0.8462242,0.06971529
1,1,26.49544,1.219287,-0.8519685,0.08483478
1,1,26.60642,0.9725229,-0.7982378,0.1972898
1,1,26.70642,0.898332,-0.7595006,0.6988984
1,1,26.80647,0.9731252,-0.7356832,1.268809
1,1,26.9065,0.9783317,-0.7278737,1.538332
1,1,27.0065,1.119427,-0.7298077,1.607236
1,1,27.11748,1.479434,-0.7407402,1.566223
1,1,27.21751,1.624305,-0.7457489,1.573206
1,1,27.3287,1.55373,-0.7449403,1.572902
1,1,27.42883,1.333722,-0.7443044,1.532835
1,1,27.53971,0.9422565,-0.7448272,1.430776
1,1,27.63975,0.5959783,-0.7412428,1.372706
1,1,27.73997,0.2469263,-0.7364978,1.322328
1,1,27.85098,-5.26309E-05,-0.7682806,1.172655
1,1,27.96203,-0.03375357,-0.7616472,1.165266
1,1,28.07304,-0.3178017,-0.7416013,1.238411
1,1,28.17312,-0.7044095,-0.7261868,1.251319
1,1,28.28415,-0.9598842,-0.7201876,1.309737
1,1,28.38424,-1.133146,-0.7331063,1.321021
1,1,28.49528,-1.088445,-0.7266914,1.289264
1,1,28.5953,-1.003898,-0.724084,1.076281
1,1,28.70631,-0.8870136,-0.7337717,0.7293363
1,1,28.81747,-0.8198453,-0.7385597,0.4090496
1,1,28.92871,-0.7860715,-0.7419773,0.1040155
1,1,29.03983,-0.7623762,-0.7489944,-0.2690978
1,1,29.15081,-0.699141,-0.7613125,-0.5993765
1,1,29.26196,-0.5916462,-0.7694526,-0.7819721
1,1,29.36197,-0.4459318,-0.7713562,-0.7751257
1,1,29.47306,-0.0004224479,-0.8279279,-0.7797003
1,1,29.58401,0.6378115,-0.8751181,-0.6618027
1,1,29.68463,0.9073728,-0.9914222,-0.6009576
1,1,29.7932,0.9154221,-0.9027314,-0.5898473
1,1,29.90421,0.9223037,-0.9014838,-0.583492
1,1,30.00424,1.025717,-0.8492343,-0.5686573
1,1,30.105,1.315176,-0.8947666,-0.5382349
1,1,30.20625,1.48582,-0.8911722,-0.4677088
1,2,35.31699,0.2202933,0.5518614,0.3691983
1,2,35.42323,0.2274616,0.5479683,0.3666423
1,2,35.53437,0.2274364,0.5479825,0.3666478
1,2,35.63445,0.2269032,0.5488108,0.3652312
1,2,35.74579,0.2265686,0.5487899,0.3652382
1,2,35.84866,0.22488,0.5505764,0.3657631
1,2,35.95025,0.1918737,0.4439505,0.4510961
1,2,36.05035,0.04810929,-0.02610634,0.5068221
1,2,36.16159,-0.1008049,-0.6300393,0.4691715
1,2,36.27269,-0.2155157,-0.782748,0.4409423
1,2,36.38359,-0.5669311,-0.7760053,0.5510588
1,2,36.49476,-0.9134532,-0.7582801,0.6438996
1,2,36.59479,-1.277228,-0.8026384,0.8321831
1,2,36.6949,-1.508319,-0.807736,0.9397236
1,2,36.80595,-1.529742,-0.8091748,0.9476626
1,2,36.91708,-1.556497,-0.7990475,0.9466146
1,2,37.0171,-1.632953,-0.7596249,0.9423136
1,2,37.12805,-2.216445,-0.7436409,0.9766229
1,2,37.23925,-2.599542,-0.7291938,0.9891618
1,2,37.35021,-2.758022,-0.7487478,0.9105898
1,2,37.45026,-2.617841,-0.7382469,0.5438784
1,2,37.56139,-2.419138,-0.7507096,0.1057967
1,2,37.67247,-2.222919,-0.7599638,-0.2227088
1,2,37.77249,-1.995769,-0.8429103,-0.5476497
1,2,37.88356,-1.96584,-0.8435871,-0.7612752
1,2,37.9945,-1.85734,-0.8450471,-0.7973527
1,2,38.09464,-1.577801,-0.8533207,-0.8393428
1,2,38.20576,-1.120246,-0.8682493,-0.8346389
1,2,38.31685,-0.6875803,-0.8832011,-0.8255829
1,2,38.41686,-0.6769253,-0.8820992,-0.8062974
1,2,38.51687,-0.6208153,-0.8497633,-0.7927608
1,2,38.62793,-0.4046558,-0.8693632,-0.603226
1,2,38.73908,-0.05183771,-0.8486543,-0.2993225
1,2,38.83909,-0.0003010333,-0.8243659,-0.2666003
1,2,38.9507,0.2377651,-0.8036593,-0.2002367
1,2,39.06128,0.8442246,-0.8231747,-0.06586558
1,2,39.17235,1.414516,-0.8995035,0.06723145
1,2,39.28353,1.650512,-0.8987738,0.003700495
1,2,39.3945,2.015452,-0.8856964,0.04539043
1,2,39.49454,2.09976,-0.8431597,0.01802003
1,2,39.60567,2.509305,-0.8864785,0.08276737
1,2,39.70571,2.672425,-0.8738495,0.1193408
1,2,39.80585,2.654392,-0.8649806,0.1310374
1,2,39.90626,2.574242,-0.8303719,0.1979512
1,2,40.01665,2.468637,-0.7946717,0.7019014
1,2,40.12786,2.400764,-0.7701252,1.109538
1,2,40.23898,2.323136,-0.7638867,1.414986
1,2,40.339,2.238177,-0.7600741,1.54549
1,2,40.44991,1.986801,-0.7649909,1.386086
1,2,40.55021,1.642391,-0.788841,1.199067
1,2,40.66121,1.605335,-0.7833303,1.181292
1,2,40.77242,1.588205,-0.776793,1.162529
1,2,40.87242,1.482409,-0.7670046,1.155426
1,2,40.98333,1.147123,-0.7622533,1.072331
1,2,41.08335,0.9469419,-0.7569894,1.035929
1,2,41.1945,0.7530724,-0.7562041,0.9973952
2,1,46.312,0.3132691,0.7618949,0.3702865
2,1,46.42256,0.3140042,0.7625082,0.3716059
2,1,46.52259,0.314209,0.7627746,0.3717484
2,1,46.62267,0.3137798,0.7628734,0.3714167
2,1,46.72471,0.3086595,0.7524458,0.3712519
2,1,46.82659,0.2929875,0.4183537,0.4045429
2,1,46.92752,0.2726499,-0.1542898,0.445807
2,1,47.0384,0.3138079,-0.7381022,0.5289462
2,1,47.13844,0.2561989,-0.7836789,0.5989227
2,1,47.24959,0.09494427,-0.8418015,0.9154238
2,1,47.3496,0.05775782,-0.8349473,1.133776
2,1,47.44961,0.05804235,-0.8306921,1.427934
2,1,47.56089,-0.3411111,-0.8275746,1.430819
2,1,47.67175,-0.5100015,-0.8187291,1.342042
2,1,47.77313,-0.5113752,-0.8070557,1.354521
2,1,47.88286,-0.5310564,-0.8115426,1.353739
2,1,47.98297,-0.637018,-0.7563229,1.345514
2,1,48.09412,-1.155484,-0.9123083,1.229681
2,1,48.20503,-1.160634,-0.9104735,1.159899
2,1,48.30526,-1.004068,-0.8186365,0.9634685
2,1,48.41628,-0.9199901,-0.7544287,0.7184792
2,1,48.52734,-0.912257,-0.7633179,0.2217021
2,1,48.62734,-0.9366692,-0.7697805,-0.1350564
2,1,48.72744,-0.9222336,-0.7720901,-0.4001325
2,1,48.83831,-0.8678282,-0.7802237,-0.6208748
2,1,48.93839,-0.8232344,-0.7856727,-0.8103278
2,1,49.0384,-0.7868947,-0.7866544,-0.8547332
2,1,49.14957,-0.5130566,-0.7944294,-0.8628708
2,1,49.24957,-0.1759144,-0.8055821,-0.8412392
2,1,49.36071,0.19364,-0.8172882,-0.8258358
2,1,49.4717,0.528843,-0.8266314,-0.7910143
2,1,49.58281,0.8604678,-0.8343807,-0.7405909
2,1,49.68283,1.149996,-0.8412399,-0.6902327
2,1,49.78296,1.325734,-0.8429905,-0.6504908
2,1,49.89389,1.420869,-0.8455053,-0.6265022
2,1,49.99392,1.359598,-0.8391761,-0.5785494
