Trial Number,Trial Phase,Time,Position X,Position Y,Position Z
1,1,227.6702,0.2154505,0.1664819,0.4260128
1,1,227.7797,0.2157725,0.17269,0.416672
1,1,228.05,0.2191255,0.3304422,0.3610576
1,1,228.1597,0.2313572,0.4386231,0.3261889
1,1,228.2688,0.2958097,0.4331965,0.2888013
1,1,228.3689,0.3433424,0.3348664,0.2791806
1,1,228.4797,0.3603303,0.2982172,0.2901067
1,1,228.5799,0.2820026,0.1465601,0.2190909
1,1,228.6814,0.3669879,-0.1564976,0.04577592
1,1,228.7844,0.6053802,-0.3123483,0.004224896
1,1,228.8848,0.9160365,-0.3257278,0.0229319
1,1,228.9958,1.192801,-0.4294529,-0.172155
1,1,229.0958,1.138777,-0.5626258,-0.5171117
1,1,229.1959,1.046937,-0.5152379,-0.6887328
1,1,229.2959,0.941422,-0.5558849,-0.7110325
1,1,229.396,0.6794096,-0.6505169,-0.729451
1,1,229.5072,0.227012,-0.6840648,-0.7525405
1,1,229.6182,-0.0673852,-0.6723085,-0.7799022
1,1,229.7292,-0.2476822,-0.6577825,-0.8022843
1,1,229.8402,-0.2476812,-0.6659541,-0.7976627
1,1,229.9513,-0.09429047,-0.6824294,-0.7569692
1,1,230.0514,-0.2243371,-0.6686031,-0.7708691
1,1,230.1625,-0.01075873,-0.7022031,-0.7204805
1,1,230.2627,0.4906759,-0.7163153,-0.605382
1,1,230.3737,0.719677,-0.6841839,-0.5513337
1,1,230.4846,0.7172164,-0.6647884,-0.5853289
1,1,230.5847,0.5999,-0.6314491,-0.6690627
1,1,230.6959,0.5321869,-0.5894567,-0.7267022
1,1,230.8068,0.2773381,-0.5845307,-0.7523877
1,1,230.9068,0.1145131,-0.5989783,-0.7588761
1,1,231.0179,-0.1473566,-0.6424417,-0.7114961
1,1,231.118,-0.3799682,-0.6614834,-0.6476292
1,1,231.2291,-0.4576752,-0.6326534,-0.4959994
1,1,231.34,-0.5035512,-0.6076788,-0.4470152
1,1,231.4402,-0.5888453,-0.5928958,-0.3957565
1,1,231.5402,-0.5815736,-0.5820286,-0.3662875
1,1,231.6512,-0.2954899,-0.6049284,-0.3030981
1,1,231.7512,-0.07176095,-0.58228,-0.2717136
1,1,231.8625,0.002956539,-0.5433422,-0.283201
1,1,231.9735,-0.03822407,-0.5167035,-0.3089334
1,1,232.0736,0.1977772,-0.5452029,-0.2313904
1,1,232.1845,0.4016255,-0.6579615,-0.09694719
1,1,232.2846,0.5791231,-0.6882952,-0.09853137
1,1,232.3846,0.9066482,-0.6923109,-0.09517115
1,1,232.4956,0.9249603,-0.6903845,-0.2336493
1,1,232.5956,0.8150318,-0.6748348,-0.324945
1,1,232.6957,0.8964182,-0.6783589,-0.3436804
1,1,232.8068,1.066309,-0.6864235,-0.3406881
1,1,232.9068,1.145385,-0.6801986,-0.3640797
1,1,233.0178,1.152119,-0.6325941,-0.4896884
1,1,233.1179,1.148227,-0.6373518,-0.6712762
1,1,233.2289,1.072775,-0.663982,-0.8329968
1,1,233.34,0.8798523,-0.6726699,-0.8631893
1,1,233.4402,0.8690671,-0.6898865,-0.8996214
1,1,233.551,0.7313241,-0.737193,-0.8834636
1,1,233.6511,0.6042154,-0.7804001,-0.634957
1,1,233.7623,0.4512876,-0.7193373,-0.4373832
1,1,233.8734,0.245724,-0.7082046,-0.4058021
1,1,233.9735,0.1009022,-0.7123357,-0.3961016
1,1,234.0843,-0.03506163,-0.7061111,-0.3312564
1,1,234.1844,-0.167109,-0.7122934,-0.3107206
1,1,234.2844,-0.3204769,-0.6960714,-0.3431705
1,1,234.3845,-0.4243269,-0.6908219,-0.346105
1,1,234.4955,-0.5042412,-0.6910118,-0.2062273
1,2,239.6068,0.2713445,0.3068479,0.2002555
1,2,239.7174,0.2713431,0.3050349,0.2003674
1,2,239.8285,0.269458,0.3049713,0.2005463
1,2,239.9286,0.2840677,0.3030338,0.1982577
1,2,240.0287,0.4451995,0.1765248,0.1231854
1,2,240.1396,1.026123,0.008865587,0.2091064
1,2,240.2506,1.468449,-0.06623401,0.2308483
1,2,240.3619,1.757801,-0.2087183,0.006249785
1,2,240.4729,1.937706,-0.1647004,-0.2861012
1,2,240.584,2.167676,-0.03433149,-0.377726
1,2,240.6841,2.377163,-0.0607079,-0.4530272
1,2,240.7953,2.289095,-0.09811617,-0.5438048
1,2,240.9062,1.943385,-0.1076139,-0.655384
1,2,241.0172,1.65028,-0.1130177,-0.7208309
1,2,241.1174,1.50857,-0.1155128,-0.7498428
1,2,241.2283,1.257789,-0.1007358,-0.7714701
1,2,241.3395,1.098908,-0.08340003,-0.7208702
1,2,241.4395,1.0084,-0.07843094,-0.7075376
1,2,241.5506,0.9992105,-0.07190949,-0.6184273
1,2,241.6617,0.9591815,-0.05689468,-0.4821888
1,2,241.7728,0.799658,-0.09792864,-0.429046
1,2,241.884,0.5552698,-0.1405748,-0.3779362
1,2,241.995,0.5992614,-0.1815283,-0.1954551
1,2,242.106,0.7749165,-0.1801933,-0.1159311
1,2,242.2061,0.8740751,-0.1255632,-0.1528655
1,2,242.3173,0.8644536,-0.0162406,-0.2643271
1,2,242.4283,0.88072,0.02851525,-0.1963264
1,2,242.5284,0.9198633,0.008535966,-0.08529532
1,2,242.6284,0.9285491,0.03233804,-0.1068628
1,2,242.7394,1.038039,0.1557801,-0.1657671
1,2,242.8395,1.198147,0.3261454,-0.15393
1,2,242.9395,1.227506,0.3769568,-0.1168059
1,2,243.0505,1.286209,0.3649825,-0.131829
1,2,243.1509,1.330242,0.3875959,-0.1342276
1,2,243.2615,1.514683,0.445253,-0.06856227
1,2,243.3616,1.667256,0.5419097,0.1659218
1,2,243.4727,1.740034,0.4682474,0.2165653
1,2,243.5838,1.725529,0.4373322,0.1787373
1,2,243.6949,1.592002,0.4392776,0.1224346
1,2,243.8064,1.246057,0.4658248,0.01374212
1,2,243.9172,0.9911913,0.5207113,0.03364542
1,2,244.0283,0.8510872,0.5566342,0.06329358
1,2,244.1393,0.8324882,0.6058602,0.2458225
1,2,244.2504,0.8121611,0.7020676,0.4935711
1,2,244.3615,0.9157726,0.680132,0.5891
1,2,244.4727,1.105715,0.6188306,0.5552379
1,2,244.5838,1.174144,0.4053473,0.4225408
1,2,244.6948,1.194572,0.1449592,0.1675876
1,2,244.7948,1.25609,0.1582845,0.0895451
1,2,244.8949,1.22365,0.1674866,0.1584873
1,2,245.006,0.3897235,0.218017,0.04215622
1,2,245.117,-0.3023368,0.1158762,-0.2824855
1,2,245.2171,-0.4020941,-0.01843812,-0.4788039
1,2,245.3281,-0.2229657,-0.03671877,-0.4965481
1,2,245.4281,0.06591773,0.03850596,-0.4099472
1,2,245.5393,0.01505551,0.06138299,-0.4048381
1,2,245.6503,-0.3287048,0.05960059,-0.4125992
1,2,245.7504,-0.6127566,0.08029277,-0.3499209
1,2,245.8614,-0.89861,0.09378642,-0.2966849
1,2,245.9615,-1.096831,0.1119543,-0.3226711
1,2,246.0724,-1.035418,0.1039532,-0.367801
1,2,246.1836,-0.6065375,0.04549256,-0.3897718
1,2,246.2952,-0.2218492,0.09520604,-0.4103719
1,2,246.4059,-0.3434769,0.1709102,-0.4314365
1,2,246.5172,-0.4997517,0.1488168,-0.3577156
1,2,246.628,-0.647562,0.164726,-0.2610326
1,2,246.7391,-0.6433249,0.1490192,-0.2323284
1,2,246.8392,-0.6089222,0.1426848,-0.2206831
1,2,246.9392,-0.6507249,0.06687163,-0.2229245
1,2,247.0394,-0.9398305,0.1076484,-0.185983
1,2,247.1503,-1.088457,0.06124696,-0.2779033
1,2,247.2617,-1.116622,-0.04355766,-0.4187483
1,2,247.3725,-0.8351119,0.3297063,-0.5474371
1,2,247.4725,-0.6697955,0.9400932,-0.6110118
1,2,247.5836,-0.545771,1.324652,-0.604968
1,2,247.6947,-0.3828256,1.263991,-0.4549019
1,2,247.8058,-0.1926551,0.7496411,-0.178959
1,2,247.9167,-0.1239375,0.4284057,-0.1240702
1,2,248.0169,-0.1683407,0.104671,-0.184515
1,2,248.1279,-0.4144211,-0.3462335,-0.3441575
1,2,248.2282,-0.4503976,-0.7208433,-0.321217
1,2,248.3392,-0.3478528,-1.047083,-0.277026
1,2,248.4502,-0.7746695,-1.038507,-0.2722036
1,2,248.5502,-1.203538,-0.840297,-0.273446
1,2,248.6613,-1.343218,-0.6646485,-0.1655475
1,2,248.7724,-1.387398,-0.7037026,-0.1331213
1,2,248.8724,-1.384355,-0.7247583,-0.07590526
1,2,248.9724,-1.346491,-0.8676531,0.335907
1,2,249.0835,-1.463865,-0.9830117,0.8661289
1,2,249.1946,-1.446716,-1.003273,0.8018565
1,2,249.3056,-1.436068,-1.001014,0.77648
