Trial Number,Trial Phase,Time,Position X,Position Y,Position Z
1,1,119.2639,0.3254377,0.7694889,0.6084801
1,1,119.3681,0.2445624,0.7560555,0.5498886
1,1,119.6317,0.2428733,0.7585248,0.5469848
1,1,119.7352,0.2326452,0.7426207,0.5622566
1,1,119.8456,0.1650304,0.4700554,0.7021763
1,1,119.9469,0.1013022,-0.007454857,0.8592207
1,1,120.0582,0.08097252,-0.4796179,1.156522
1,1,120.1605,0.09811375,-0.8069274,1.117384
1,1,120.2633,0.09226736,-0.7732495,1.154306
1,1,120.3651,0.1013168,-0.7595392,1.150903
1,1,120.4652,0.1066528,-0.7584612,1.150373
1,1,120.5763,0.1516252,-0.7629043,1.136458
1,1,120.6768,0.338972,-0.7673209,1.105519
1,1,120.7874,0.446804,-0.7323136,1.125316
1,1,120.8876,0.5954074,-0.7089579,1.041131
1,1,120.9983,0.7684547,-0.721503,0.8954524
1,1,121.0986,0.7193296,-0.7269347,0.7005109
1,1,121.2096,0.4359885,-0.7276223,0.5371275
1,1,121.3097,0.08772743,-0.7161024,0.4763535
1,1,121.4206,-0.1659686,-0.7644823,0.4238078
1,1,121.5208,-0.352401,-0.7779136,0.2581785
1,1,121.6318,-0.3665924,-0.7821303,0.06963766
1,1,121.7428,-0.318287,-0.7902117,-0.001685262
1,1,121.854,-0.2449468,-0.7974442,-0.08513194
1,1,121.965,-0.1025821,-0.8127012,-0.252791
1,1,122.0651,0.1505481,-0.8251498,-0.2555529
1,1,122.1761,0.385668,-0.8125198,-0.1798156
1,1,122.2761,0.4261878,-0.7907826,-0.1757426
1,1,122.3761,0.4590217,-0.7784936,-0.3262914
1,1,122.4872,0.4917554,-0.8416469,-0.5474861
1,1,122.5983,0.4072835,-0.8500959,-0.6551364
1,1,122.6983,0.5854264,-0.8523597,-0.6535078
1,1,122.8095,0.7646317,-0.8606871,-0.6007451
1,1,122.9095,0.9115303,-0.8647938,-0.5091461
1,1,123.0204,0.9150726,-0.8609912,-0.3386922
1,1,123.1205,0.8588897,-0.8444172,-0.08143109
1,1,123.2205,0.8239076,-0.8067608,0.09400558
1,1,123.3317,0.8991849,-0.7981697,0.1006249
1,1,123.4429,1.261036,-0.7840404,0.1486843
1,1,123.5538,1.532042,-0.7827701,0.189167
1,1,123.6538,1.676983,-0.7712167,0.2424396
1,1,123.7649,1.686279,-0.772453,0.2435195
1,1,123.876,1.566903,-0.8057624,0.1719019
1,1,123.9872,1.018794,-0.8374977,0.04075673
1,1,124.0982,0.6649886,-0.8319252,-0.06882995
1,1,124.1983,0.6607784,-0.839652,-0.326005
1,1,124.3093,0.692538,-0.8631921,-0.6561777
1,1,124.4204,0.5136638,-0.8724158,-0.7792918
1,1,124.5316,0.7638233,-0.8709332,-0.6861096
1,1,124.6426,1.226151,-0.8549745,-0.3394948
1,1,124.7426,1.566442,-0.8378202,-0.2298157
1,1,124.8537,1.315481,-0.8833622,-0.5071189
1,1,124.9537,1.18555,-0.8865253,-0.7788109
1,1,125.0649,0.7436086,-0.8772238,-0.6568543
1,1,125.1759,-0.1743583,-0.7728112,-0.6733792
1,1,125.2871,-0.6777086,-0.7443959,-0.7110865
1,1,125.398,-0.8757837,-0.7222149,-0.5697499
1,1,125.4981,-1.063332,-0.7098235,-0.4551385
1,1,125.6092,-1.217277,-0.7626911,-0.3221583
1,1,125.7093,-0.6748927,-0.6977401,0.003040761
1,1,125.8204,0.03398785,-0.7014193,0.425737
1,1,125.9314,0.5893098,-0.7007444,0.6838045
1,1,126.0315,0.8175735,-0.6995109,1.008093
1,1,126.1315,0.5114523,-0.6962386,1.060218
1,2,131.245,0.3687297,0.6323157,0.3158697
1,2,131.3451,0.3546877,0.5497956,0.3335601
1,2,131.4452,0.3413378,0.4496086,0.3396319
1,2,131.5562,0.3402371,0.4545039,0.3431511
1,2,131.6592,0.1513356,0.467852,0.3420338
1,2,131.7624,-0.4155217,0.3913097,0.3383411
1,2,131.8643,-0.7442392,-0.1428662,0.4001103
1,2,131.9754,-0.8102703,-0.6965653,0.6177937
1,2,132.0866,-0.8328372,-0.6979742,0.9314141
1,2,132.1977,-0.8588477,-0.700175,1.128176
1,2,132.2977,-0.9885235,-0.6986204,1.209028
1,2,132.4089,-1.113435,-0.6972173,1.236341
1,2,132.5199,-1.294909,-0.71254,1.123315
1,2,132.62,-1.407323,-0.7463566,0.8690254
1,2,132.731,-1.306934,-0.751074,0.7840465
1,2,132.831,-1.31947,-0.751681,0.7796876
1,2,132.931,-1.283985,-0.7506273,0.7752848
1,2,133.0421,-1.570831,-0.6960284,0.5316671
1,2,133.1532,-1.822057,-0.7422765,0.2435852
1,2,133.2643,-2.00485,-0.7411976,0.3272336
1,2,133.3643,-2.063309,-0.7430374,0.3514042
1,2,133.4755,-2.041021,-0.7451002,0.2229809
1,2,133.5866,-1.903798,-0.7487252,-0.04799488
1,2,133.6866,-1.738566,-0.7544364,-0.2032667
1,2,133.7975,-1.437584,-0.7663531,-0.2785063
1,2,133.9087,-1.251886,-0.7633671,-0.1194387
1,2,134.0199,-1.175373,-0.7289265,-0.1536653
1,2,134.131,-1.010577,-0.7273692,-0.2936456
1,2,134.242,-0.9829528,-0.749018,-0.5087677
1,2,134.3532,-1.042586,-0.7614608,-0.6970058
1,2,134.4641,-1.113095,-0.7637546,-0.750051
1,2,134.5643,-1.193765,-0.7623229,-0.7977584
1,2,134.6753,-0.8569609,-0.7701651,-0.7717939
1,2,134.7865,-0.6245736,-0.7479172,-0.3994375
1,2,134.8975,-0.4873805,-0.7584279,-0.1613914
1,2,135.0085,-0.2794529,-0.7640489,-0.1708596
1,2,135.1088,-0.07725519,-0.7672083,-0.2424001
1,2,135.2198,-0.1036571,-0.7900162,-0.5214785
1,2,135.3198,-0.1285554,-0.7977371,-0.6522558
1,2,135.4309,-0.05890623,-0.7791376,-0.6882268
1,2,135.5421,0.08857808,-0.733318,-0.6465228
1,2,135.6532,0.3894343,-0.7378374,-0.4636328
1,2,135.7641,0.6777278,-0.7308066,-0.1209325
1,2,135.8642,1.043072,-0.7162859,0.3589073
1,2,135.9752,1.362273,-0.7536315,0.6543974
1,2,136.0752,1.411706,-0.716558,0.7332754
1,2,136.1754,1.561093,-0.7034544,0.9355776
1,2,136.2864,1.739993,-0.7577148,1.134043
1,2,136.3975,1.751665,-0.7553002,1.163841
1,2,136.5086,1.760194,-0.7571145,1.164844
1,2,136.6197,1.777976,-0.759791,1.118287
1,2,136.7308,1.770043,-0.7730872,0.8969565
1,2,136.8418,1.717881,-0.7480503,0.8655775
1,2,136.9418,1.509033,-0.7079728,0.7394735
1,2,137.0419,1.268062,-0.782383,0.3782278
1,2,137.153,1.29185,-0.7965419,0.2651493
1,2,137.264,1.35712,-0.8163779,-0.007166326
1,2,137.3751,1.359893,-0.8345745,-0.2514795
1,2,137.4753,1.392687,-0.8460214,-0.43359
1,2,137.5863,1.446878,-0.8513947,-0.4989179
1,2,137.6974,1.691975,-0.850273,-0.4898525
1,2,137.8084,2.042168,-0.8354231,-0.4166939
1,2,137.9195,2.201962,-0.8392444,-0.3517097
1,2,138.0305,2.4695,-0.8724561,-0.21299
1,2,138.1306,2.564422,-0.8714256,-0.1639798
1,2,138.2307,2.596658,-0.8657224,-0.08023697
1,2,138.3307,2.512757,-0.8508455,0.07853574
