"Response ID","Date submitted","Last page","Start language","Seed","Date started","Date last action","Participant ID","Mental DemandHow mentally demanding was the task?  []","Physical DemandHow physically demanding was the task?  []","Temporal DemandHow hurried or rushed was the pace of the task?  []","PerformanceHow successful were you in accomplishing what you were asked to do?  []","EffortHow hard did you have to work to accomplish your level of performance?  []","FrustrationHow insecure, discouraged, irritated, stressed, and annoyed were you? []"
"1","2023-09-18 11:38:55","1","en","1923787873","2023-09-18 11:37:53","2023-09-18 11:38:55","1","8","6","8","10","9","2"
"2","2023-09-18 14:04:32","1","en","1071299452","2023-09-18 11:49:11","2023-09-18 14:04:32","2","6","6","7","8","7","1"
"4","2023-09-18 15:37:16","1","en","1701271254","2023-09-18 15:36:26","2023-09-18 15:37:16","3","7","3","8","6","8","7"
"6","2023-09-19 11:35:41","1","en","2081669560","2023-09-19 11:35:12","2023-09-19 11:35:41","4","4","2","8","7","7","5"
"7","2023-09-19 13:54:47","1","en","165933079","2023-09-19 13:53:51","2023-09-19 13:54:47","5","6","4","10","7","7","8"
"8","2023-09-20 11:06:52","1","en","225859913","2023-09-20 11:04:52","2023-09-20 11:06:52","6","7","3","9","9","8","8"
"11","2023-09-20 13:51:01","1","en","776029897","2023-09-20 12:29:05","2023-09-20 13:51:01","7","7","4","8","9","8","7"
"12","2023-09-20 15:58:47","1","en","1015822524","2023-09-20 15:56:58","2023-09-20 15:58:47","8","8","6","5","9","6","2"
"13","2023-09-21 11:26:13","1","en","449973511","2023-09-21 11:24:59","2023-09-21 11:26:13","9","6","2","4","5","7","2"
"14","2023-09-21 13:39:15","1","en","608368759","2023-09-21 13:36:01","2023-09-21 13:39:15","10","6","4","7","8","3","2"
"15","2023-09-21 16:02:20","1","en","1839691686","2023-09-21 16:00:08","2023-09-21 16:02:20","11","7","2","1","9","8","2"
"17","2023-09-25 11:36:58","1","en","1496596113","2023-09-25 11:31:49","2023-09-25 11:36:58","12","8","7","9","6","8","3"
"18","2023-09-25 13:57:58","1","en","1624419183","2023-09-25 12:29:21","2023-09-25 13:57:58","13","7","4","10","5","8","5"
"19","2023-09-25 16:39:01","1","en","768621112","2023-09-25 16:37:29","2023-09-25 16:39:00","14","7","1","10","10","8","5"
"21","2023-10-05 20:16:57","1","en","864128235","2023-10-05 20:16:31","2023-10-05 20:16:57","15","3","2","7","7","7","2"
"22","2023-10-05 20:18:50","1","en","529523177","2023-10-05 20:17:43","2023-10-05 20:18:50","16","10","8","9","6","9","10"
"23","2023-10-05 20:19:40","1","en","1439435851","2023-10-05 20:19:06","2023-10-05 20:19:40","17","6","6","5","5","7","3"
"24","2023-10-06 11:02:41","1","en","1926478237","2023-10-06 09:55:21","2023-10-06 11:02:41","18","6","7","7","9","8","4"
"25","2023-10-06 13:53:44","1","en","931545235","2023-10-06 13:52:43","2023-10-06 13:53:44","18","10","5","7","10","10","6"
"26","2023-10-06 15:42:19","1","en","1979666001","2023-10-06 15:40:55","2023-10-06 15:42:19","20","7","4","7","8","8","6"
"27","2023-10-09 11:17:18","1","en","1763463880","2023-10-09 11:16:12","2023-10-09 11:17:18","21","5","1","7","6","7","2"
"28","2023-10-09 13:39:12","1","en","1703994143","2023-10-09 13:38:14","2023-10-09 13:39:12","22","3","3","7","10","5","1"
"29","2023-10-09 15:30:39","1","en","384849049","2023-10-09 15:29:46","2023-10-09 15:30:39","23","5","3","5","8","5","1"
"30","","","en","1030836447","2023-10-23 20:54:20","2023-10-23 20:54:20","","","","","","",""
