Trial Number,Trial Phase,Time,Position X,Position Y,Position Z
1,1,85.07693,0.5528204,1.023339,-0.839779
1,1,85.177,0.5641232,1.021161,-0.841103
1,1,85.28819,0.5848023,1.015584,-0.8448249
1,1,85.39907,0.6049457,1.01349,-0.8455811
1,1,85.5103,0.6138062,1.012479,-0.8461713
1,1,85.61279,0.6136128,1.013784,-0.848317
1,1,85.71507,0.6089023,1.017402,-0.8521389
1,1,85.81524,0.6047978,1.020911,-0.8587757
1,1,85.91554,0.5892622,1.013684,-0.8769873
1,1,86.02615,0.5569149,0.9354839,-0.9252884
1,1,86.12621,0.5454808,0.8333366,-0.930711
1,1,86.22623,0.5483183,0.7643813,-0.9097673
1,1,86.3374,0.5438355,0.54246,-0.8792998
1,1,86.43747,0.4971568,0.06964511,-0.8336846
1,1,86.53751,0.4621178,-0.4235481,-0.7462355
1,1,86.64857,0.4618516,-0.6792758,-0.6231868
1,1,86.74862,0.465421,-0.6986983,-0.5512218
1,1,86.8596,0.4611217,-0.7005929,-0.5387931
1,1,86.95978,0.4700778,-0.6998832,-0.5333013
1,1,87.07096,0.4844629,-0.699796,-0.5359017
1,1,87.18195,0.4964518,-0.7026626,-0.5095132
1,1,87.29302,0.5018024,-0.7032444,-0.3564464
1,1,87.39309,0.5032402,-0.7023855,-0.1651195
1,1,87.50409,0.5000232,-0.7027929,-0.009239495
1,1,87.6043,0.4823688,-0.6906922,0.06685373
1,1,87.71512,0.4836547,-0.6790487,0.2449413
1,1,87.81532,0.5119202,-0.6769193,0.3994319
1,1,87.92624,0.5166354,-0.6783465,0.4265459
1,1,88.02631,0.547666,-0.6786782,0.4192774
1,1,88.13724,0.7693719,-0.6808727,0.4120322
1,1,88.23743,0.9157569,-0.6815774,0.3711799
1,1,88.33747,1.009611,-0.6830459,0.3137178
1,1,88.44849,1.04906,-0.6862605,0.1976114
1,1,88.55946,0.973473,-0.7303054,-0.02881035
1,1,88.65963,0.9373058,-0.7255595,-0.06585354
1,1,88.77068,0.9201509,-0.7163424,-0.003125072
1,1,88.87072,0.9023957,-0.7072396,0.03236064
1,1,88.98174,0.9174877,-0.7148798,0.02202648
1,1,89.09282,1.032367,-0.7212809,0.01030603
1,1,89.19286,1.180303,-0.7262998,0.003017873
1,1,89.30397,0.9444348,-0.7315273,-0.08984971
1,1,89.41509,0.8492144,-0.6970345,0.0894759
1,1,89.52603,0.9623313,-0.7003453,0.0911364
1,1,89.6263,1.093223,-0.7344552,0.01568925
1,1,89.73734,0.947742,-0.7400303,-0.09165615
1,1,89.83736,0.8413266,-0.6996088,-0.04329979
1,1,89.94852,0.875631,-0.7045829,0.07663181
1,1,90.05954,1.068952,-0.7048392,0.07608572
1,1,90.17056,1.148347,-0.73514,0.01545441
1,1,90.27057,0.9810929,-0.7376163,-0.007412255
1,1,90.38174,0.9032104,-0.7164531,0.05338299
1,1,90.49272,1.01556,-0.7402787,0.02469841
1,1,90.59277,1.290951,-0.7412915,0.02852136
1,1,90.6934,1.3862,-0.7369462,0.02514651
1,1,90.80392,1.30545,-0.743495,0.02064267
1,1,90.91508,1.371987,-0.7441293,0.02353713
1,1,91.01512,1.551928,-0.7432666,0.02941397
1,1,91.12599,1.616389,-0.735756,0.04815909
1,1,91.22607,1.604336,-0.7096207,0.09690794
1,1,91.33717,1.663115,-0.7078362,0.1094385
1,1,91.4483,1.772836,-0.7095583,0.09942204
1,1,91.55941,1.567039,-0.750823,0.01440132
1,1,91.67054,1.177644,-0.7498994,0.009427428
1,1,91.78164,0.9340407,-0.7378108,0.03570616
1,1,91.89278,0.8861706,-0.7160167,0.08399484
1,2,97.01736,0.4982214,0.7925548,-0.7212076
1,2,97.12099,0.4962994,0.7913745,-0.7205527
1,2,97.23187,0.4960114,0.7914662,-0.7205307
1,2,97.34312,0.5006609,0.7913677,-0.7201212
1,2,97.44403,0.5293954,0.7695125,-0.7159105
1,2,97.5462,0.6054096,0.626955,-0.6841714
1,2,97.64793,0.7996497,0.2549231,-0.6336713
1,2,97.75896,1.158941,-0.2644354,-0.5054689
1,2,97.87004,1.651343,-0.6635346,-0.3422557
1,2,97.9701,1.941736,-0.6725426,-0.2548144
1,2,98.08125,2.19656,-0.672755,-0.206547
1,2,98.19244,2.335227,-0.6740295,-0.166906
1,2,98.30347,2.530107,-0.7051747,-0.1283326
1,2,98.41449,2.723326,-0.7082765,-0.08775979
1,2,98.52559,2.775023,-0.7092631,-0.1502272
1,2,98.6256,2.720249,-0.7099094,-0.2152945
1,2,98.7366,2.673748,-0.713782,-0.4051714
1,2,98.83679,2.689227,-0.717927,-0.5743701
1,2,98.93681,2.689075,-0.7242786,-0.5779004
1,2,99.04787,2.602184,-0.7284665,-0.3258709
1,2,99.15887,2.564158,-0.7203448,-0.02897087
1,2,99.25896,2.644024,-0.7181643,-0.01878369
1,2,99.36979,2.966285,-0.7238057,-0.01342684
1,2,99.47002,3.232225,-0.7235066,-0.01674473
1,2,99.58124,3.223764,-0.7251994,-0.02455109
1,2,99.68166,2.976624,-0.7237319,-0.0561409
1,2,99.79212,2.624154,-0.726391,-0.1432129
1,2,99.89217,2.889171,-0.7231412,-0.05164751
1,2,99.99228,3.378746,-0.7253437,-0.009103417
1,2,100.1031,3.285834,-0.7341317,-0.03118098
1,2,100.2032,2.84673,-0.73465,-0.1118714
1,2,100.3033,2.577665,-0.7340063,-0.2450159
1,2,100.4143,2.599878,-0.7364029,-0.4218724
1,2,100.5145,2.66195,-0.7398463,-0.625865
1,2,100.6254,2.593636,-0.7428323,-0.7750927
1,2,100.7257,2.266453,-0.7459092,-0.8502962
1,2,100.8364,1.89569,-0.7468147,-0.8542039
1,2,100.9366,1.651433,-0.7440126,-0.8454223
1,2,101.0475,1.441816,-0.73842,-0.8567578
1,2,101.1477,1.322952,-0.6999133,-0.8649004
1,2,101.2477,1.365868,-0.7099085,-0.7345867
1,2,101.3587,1.558442,-0.7305808,-0.1610231
1,2,101.4587,1.494135,-0.7232533,0.06029662
1,2,101.5588,1.19519,-0.68549,0.1431767
1,2,101.6589,0.5309365,-0.6840991,0.1111392
1,2,101.7589,-0.198457,-0.7096791,0.01647332
1,2,101.8697,-0.6738024,-0.7149162,0.01681301
1,2,101.9698,-0.5856663,-0.7163053,0.01655224
1,2,102.0809,-0.1900513,-0.7202908,-0.02435735
1,2,102.181,-0.0503951,-0.7266751,-0.03779125
1,2,102.2921,-0.3657135,-0.7282817,-0.009503067
1,2,102.3921,-0.6825862,-0.7142444,-0.01524705
1,2,102.5031,-0.6157004,-0.7223892,-0.0002125204
1,2,102.6143,-0.06515154,-0.7248266,-0.06825238
1,2,102.7254,0.05000535,-0.7325487,-0.08286828
1,2,102.8365,-0.4427446,-0.7351053,-0.1369384
1,2,102.9475,-0.6586375,-0.7344819,-0.3136416
1,2,103.0476,-0.5772398,-0.7374512,-0.4846969
1,2,103.1587,-0.5302933,-0.7420819,-0.7210352
1,2,103.2587,-0.5529989,-0.7383322,-0.7620273
1,2,103.3588,-0.5649503,-0.7319574,-0.5628982
1,2,103.4697,-0.4743842,-0.7252729,-0.2159745
1,2,103.5698,-0.3901322,-0.7210327,0.001558304
1,2,103.6809,-0.3561414,-0.7234454,0.02641714
1,2,103.7923,-0.2940495,-0.7226362,-0.01494077
1,2,103.8923,-0.06500089,-0.7261327,-0.0488621
1,2,104.003,-0.06644073,-0.7318818,-0.04204267
1,2,104.1141,-0.2238307,-0.7261883,-0.03363207
1,2,104.2252,-0.2501902,-0.7226493,-0.0365935
1,2,104.3253,-0.2098155,-0.7209572,-0.04343027
1,2,104.4362,-0.1579016,-0.7215904,-0.05274343
1,2,104.5474,-0.1246404,-0.7196107,-0.05872354
2,1,109.665,0.4891499,0.8048155,-0.9230894
2,1,109.7754,0.491492,0.8047259,-0.9230563
2,1,109.8755,0.4937766,0.8024657,-0.9231127
