Trial Number,Trial Phase,Time,Position X,Position Y,Position Z
1,1,155.95,-0.1020019,-1.126758,0.05563995
1,1,156.0582,-0.1412444,-1.198635,0.1260723
1,1,156.1584,-0.1508341,-1.264513,0.2030468
1,1,156.2585,-0.2034545,-1.481342,0.2631561
1,1,156.3597,-0.3364931,-1.720407,0.242617
1,1,156.4621,-0.3684222,-1.745152,0.2171602
1,1,156.5631,-0.3194591,-1.744094,0.147136
1,1,156.6633,-0.05271342,-1.641459,0.07671642
1,1,156.7634,0.2451571,-1.641332,-0.09767145
1,1,156.8634,0.4794078,-1.711206,-0.4198369
1,1,156.9743,0.273322,-1.718992,-0.7367173
1,1,157.0745,0.06385124,-1.708755,-0.7784566
1,1,157.1857,-0.331332,-1.7065,-0.7008675
1,1,157.296,-0.8131199,-1.700929,-0.5345786
1,1,157.4072,-0.9348035,-1.697407,-0.5017254
1,1,157.5183,-0.3930101,-1.696365,-0.7145997
1,1,157.6293,0.2489396,-1.697389,-0.7641508
1,1,157.7301,0.7907205,-1.693661,-0.7710702
1,1,157.8411,1.276544,-1.691837,-0.6913372
1,1,157.9521,1.521642,-1.695794,-0.4937244
1,1,158.0631,1.250758,-1.695899,-0.4412909
1,1,158.1746,0.5171101,-1.697961,-0.5771794
1,1,158.2852,-0.04727274,-1.698258,-0.5556145
1,1,158.3855,-0.4764423,-1.695967,-0.4207363
1,1,158.4966,-0.5701579,-1.695605,-0.3884718
1,1,158.5966,-0.5317236,-1.693836,-0.3943611
1,1,158.7078,0.01238072,-1.686521,-0.555782
1,1,158.8188,0.6559725,-1.683341,-0.57127
1,1,158.9297,1.230869,-1.687012,-0.3697879
1,1,159.0297,1.261918,-1.687047,-0.2349416
1,1,159.1409,1.107759,-1.68437,-0.1125694
1,1,159.2409,0.9110336,-1.615082,-0.02308023
1,1,159.341,0.8271628,-1.613688,0.005867779
1,1,159.452,0.6826246,-1.614564,-0.00821209
1,1,159.552,0.4867599,-1.61468,-0.01362839
1,1,159.6627,0.3154281,-1.619912,0.02527055
1,1,159.7737,0.3559818,-1.623419,0.03933889
1,1,159.8847,0.7199005,-1.619945,0.004498303
1,1,159.9853,1.23609,-1.673002,0.03699493
1,1,160.0855,1.393043,-1.673772,0.09819767
1,1,160.1964,1.272832,-1.677735,0.2110273
1,1,160.2966,0.8502232,-1.615682,0.2226466
1,1,160.4076,0.3929446,-1.620495,0.1036068
1,1,160.5076,0.1243486,-1.620778,-0.09288424
1,1,160.6078,0.1868276,-1.619256,-0.2505536
1,1,160.7188,0.5461559,-1.691001,-0.5436576
1,1,160.8297,0.778743,-1.693286,-0.6758034
1,1,160.9297,0.7357982,-1.690732,-0.6066803
1,1,161.0409,0.6009197,-1.622653,-0.238845
1,1,161.1519,0.6041875,-1.617154,0.04425514
1,1,161.2519,0.6935933,-1.61579,0.2362398
1,1,161.3519,0.8728833,-1.617017,0.2537659
1,1,161.452,1.276282,-1.680446,0.2302856
1,1,161.5629,1.504819,-1.684774,0.04987839
1,1,161.6629,1.497924,-1.68858,-0.1430733
1,1,161.763,1.41416,-1.684251,-0.1292339
1,1,161.8742,1.357957,-1.679125,0.1536648
1,1,161.9743,1.338545,-1.676805,0.4797623
1,1,162.0744,1.266051,-1.673309,0.8254727
1,1,162.185,1.082159,-1.669787,1.267692
1,1,162.2852,1.018065,-1.667932,1.490928
1,1,162.3854,0.9923699,-1.671097,1.518149
1,1,162.4965,1.004726,-1.677178,1.313813
1,1,162.6074,0.9517996,-1.619588,0.8684298
1,1,162.7075,0.8529216,-1.622486,0.5451043
1,1,162.8185,0.5813637,-1.625254,0.1064599
1,2,167.9352,0.3873674,0.5156605,-0.3162812
1,2,168.0464,0.4035091,0.5836399,-0.3033351
1,2,168.1464,0.4052402,0.6047873,-0.2654483
1,2,168.2465,0.320791,0.5085083,-0.3563656
1,2,168.3475,-0.3083402,-0.1843953,-0.6286051
1,2,168.45,-0.6633161,-0.7143772,-0.6999606
1,2,168.5513,-0.7285115,-0.7006984,-0.6959843
1,2,168.6515,-0.7792246,-0.6988443,-0.7048882
