"Term","Df","Df.res","Sum Sq","Sum Sq.res","F value","Pr(>F)","Condition","Metric"
"Immersion",1,117,7310.89,147326.15,5.81,0.02,"Combined","Error Rate"
"Modality",2,117,69430.82,85043.32,47.76,0,"Combined","Error Rate"
"Immersion:Modality",2,117,2454.83,152302.36,0.94,0.39,"Combined","Error Rate"
"Immersion",1,117,26357.14,128461.03,24.01,0,"Combined","Reaction Time"
"Modality",2,117,22798.85,131988.96,10.1,0,"Combined","Reaction Time"
"Immersion:Modality",2,117,198.1,154457.93,0.08,0.93,"Combined","Reaction Time"
"Immersion",1,78,1026.22,44638.16,1.79,0.18,"H vs V","error_rate"
"Modality",1,78,18422.93,27301.3,52.63,0,"H vs V","error_rate"
"Immersion:Modality",1,78,762.35,44866.12,1.33,0.25,"H vs V","error_rate"
"Immersion",1,78,1280.96,44528.93,2.24,0.14,"H vs VH","error_rate"
"Modality",1,78,26130.66,19619.3,103.89,0,"H vs VH","error_rate"
"Immersion:Modality",1,78,640.04,45066.21,1.11,0.3,"H vs VH","error_rate"
"Immersion",1,78,3173.84,42589.54,5.81,0.02,"V vs VH","error_rate"
"Modality",1,78,1790.64,43969.6,3.18,0.08,"V vs VH","error_rate"
"Immersion:Modality",1,78,2.21,45831.86,0,0.95,"V vs VH","error_rate"
"Immersion",1,78,7048.1,38817.92,14.16,0,"H vs V","avg_reaction_time"
"Modality",1,78,6604.72,39309.7,13.11,0,"H vs V","avg_reaction_time"
"Immersion:Modality",1,78,87.71,45768.28,0.15,0.7,"H vs V","avg_reaction_time"
"Immersion",1,78,8651.05,37245.05,18.12,0,"H vs VH","avg_reaction_time"
"Modality",1,78,8561.07,37350.28,17.88,0,"H vs VH","avg_reaction_time"
"Immersion:Modality",1,78,22.79,45893.1,0.04,0.84,"H vs VH","avg_reaction_time"
"Immersion",1,78,7577,38342.22,15.41,0,"V vs VH","avg_reaction_time"
"Modality",1,78,37.21,45589.92,0.06,0.8,"V vs VH","avg_reaction_time"
"Immersion:Modality",1,78,12.92,45619.07,0.02,0.88,"V vs VH","avg_reaction_time"
"Immersion",1,39,9.76,5637.24,0.07,0.8,"H","error_rate"
"Immersion",1,39,381.32,5302.18,2.8,0.1,"V","error_rate"
"Immersion",1,39,431.7,5219.3,3.23,0.08,"VH","error_rate"
"Immersion",1,39,937.53,4802.47,7.61,0.01,"H","avg_reaction_time"
"Immersion",1,39,738.88,5001.12,5.76,0.02,"V","avg_reaction_time"
"Immersion",1,39,1117.64,4622.36,9.43,0,"VH","avg_reaction_time"
